artist_normalized,grammy_wins,grammy_first_year,grammy_last_year,grammy_categories
,96,1959,2019,"Album Of The Year | Best Album Created For Children | Best Album For Children | Best Bluegrass Album | Best Children'S Album | Best Compilation Soundtrack Album For A Motion Picture, Television Or Other Visual Media | Best Compilation Soundtrack Album For Motion Picture, Television Or Other Visual Media | Best Compilation Soundtrack For Visual Media | Best Contemporary Song | Best Contemporary Soul Gospel Album | Best Country Album | Best Documentary, Spoken Word Or Drama Recording (Other Than Comedy) | Best Ethnic Or Traditional Recording | Best Hawaiian Music Album | Best Long Form Music Video | Best Music Film | Best Musical Album For Children | Best Native American Music Album | Best Performance - Documentary Or Spoken Word (Other Than Comedy) | Best Performance By A Vocal Group Or Chorus | Best Performance Music Video | Best Pop Instrumental Album | Best Pop/Contemporary Gospel Album | Best R&B Performance By A Duo Or Group With Vocals | Best Recording For Children | Best Regional Roots Music Album | Best Remixed Recording | Best Roots Gospel Album | Best Sound Track Album, Original Cast - Motion Picture Or Television | Best Southern Gospel, Country Gospel Or Bluegrass Gospel Album | Best Southern, Country Or Bluegrass Gospel Album | Best Southern, Country, Or Bluegrass Gospel Album | Best Spoken Word Album (Includes Poetry, Audio Books & Storytelling) | Best Spoken Word Album For Children | Best Spoken Word Or Drama Recording | Best Spoken Word Or Non-Musical Recording | Best Spoken Word Recording | Best Spoken Word, Documentary Or Drama Recording | Best Surround Sound Album | Best Traditional Folk Album | Best Traditional Folk Recording | Best Traditional Gospel Album | Best Traditional Pop Vocal Album"
2+2 plus,1,1986,1986,"Best Jazz Vocal Performance, Duo Or Group"
21 savage,1,2019,2019,Best Rap Album
5th dimension,6,1967,1969,Best Contemporary Group Performance (Vocal Or Instrumental) | Best Contemporary Single | Best Contemporary Vocal Performance By A Group | Best Performance By A Vocal Group | Record Of The Year
a flock of seagulls,1,1982,1982,Best Rock Instrumental Performance
a great big world,1,2014,2014,Best Pop Duo/Group Performance
aaron neville,1,1994,1994,Best Country Vocal Collaboration
ac/dc,1,2009,2009,Best Hard Rock Performance
adele,11,2008,2016,Album Of The Year | Best Female Pop Vocal Performance | Best Pop Solo Performance | Best Pop Vocal Album | Best Short Form Music Video | Record Of The Year
adele adkins,1,2013,2013,Best Song Written For Visual Media
aerosmith,4,1990,1998,Best Rock Performance By A Duo Or Group With Vocal
aida cuevas,1,2017,2017,Best Regional Mexican Music Album (Including Tejano)
aimee mann,1,2017,2017,Best Folk Album
"al bunetta, dan einstein",1,1986,1986,Best Contemporary Folk Recording
al franken,2,1996,2003,Best Spoken Comedy Album | Best Spoken Word Album
al green,10,1981,2008,"Best Pop Vocal Collaboration | Best R&B Performance By A Duo Or Group With Vocals | Best Soul Gospel Performance, Contemporary | Best Soul Gospel Performance, Male | Best Soul Gospel Performance, Traditional | Best Soul Gospel Vocal Performance, Male Or Female | Best Traditional R&B Vocal Performance"
al hirt,1,1963,1963,Best Performance By An Orchestra Or Instrumentalist With Orchestra - Primarily Not Jazz Or For Dancing
al jarreau,5,1977,1992,"Best Jazz Vocal Performance | Best Jazz Vocal Performance, Male | Best Pop Vocal Performance, Male | Best R&B Vocal Performance, Male"
alabama,2,1982,1983,Best Country Performance By A Duo Or Group With Vocal
alabama shakes,3,2015,2017,Best Alternative Music Album | Best American Roots Performance | Best Rock Performance
alan copeland singers,1,1968,1968,"Best Contemporary Pop Performance, Chorus"
alan menken,3,1993,2011,Best Song Written For Visual Media | Best Song Written Specifically For A Motion Picture Or For Television
alanis morissette,5,1995,1998,Album Of The Year | Best Female Rock Vocal Performance | Best Long Form Music Video | Best Rock Album
alannah myles,1,1990,1990,"Best Rock Vocal Performance, Female"
albertina walker,1,1994,1994,Best Traditional Soul Gospel Album
alejandro sanz,4,2003,2019,Best Latin Pop Album
ali farka toure,1,1994,1994,Best World Music Album
ali farka touré,2,2005,2010,Best Traditional World Music Album
alicia keys,7,2001,2013,Best Female R&B Vocal Performance | Best R&B Album
alison brown,1,2000,2000,Best Country Instrumental Performance
alison krauss,12,1990,2011,"Best Bluegrass Album | Best Bluegrass Recording | Best Country Instrumental Performance | Best Country Performance By A Duo Or Group With Vocal | Best Female Country Vocal Performance | Best Southern Gospel, Country Gospel Or Bluegrass Gospel Album"
alison krauss and union station,3,2005,2005,Best Country Album | Best Country Instrumental Performance | Best Country Performance By A Duo Or Group With Vocal
all-4-one,1,1994,1994,Best Pop Performance By A Duo Or Group With Vocal
allan sherman,1,1963,1963,Best Comedy Performance
alphabet rockers,1,2019,2019,Best Children'S Music Album
altin gün,1,2019,2019,Best World Music Album
amazing rhythm aces,1,1976,1976,Best Country Vocal Performance By A Duo Or Group
amy grant,6,1982,2005,"Best Gospel Performance, Contemporary | Best Gospel Performance, Female | Best Southern, Country, Or Bluegrass Gospel Album"
amy hānaiali’i,1,2019,2019,Best Regional Roots Music Album
amy winehouse,4,2007,2015,Best Female Pop Vocal Performance | Best Music Film | Best Pop Vocal Album | Record Of The Year
anat cohen tentet,1,2019,2019,Best Large Jazz Ensemble Album
anderson .paak,3,2018,2019,Best R&B Album | Best R&B Performance | Best Rap Performance
andrae crouch,6,1975,1994,"Best Pop/Contemporary Gospel Album | Best Soul Gospel Performance | Best Soul Gospel Performance, Contemporary | Best Soul Gospel Performance, Male"
andre previn,3,1958,1961,"Best Jazz Performance - Soloist Or Small Group (Instrumental) | Best Jazz Performance Solo Or Small Group | Best Sound Track Album, Dramatic Picture Score Or Original Cast"
andrea bocelli,1,2019,2019,Best Traditional Pop Vocal Album
andreas vollenweider,1,1986,1986,Best New Age Recording
andrew bird,1,2019,2019,Best Folk Album
andré previn,1,2002,2002,Best Classical Crossover Album
andy griffith,1,1996,1996,"Best Southern Gospel, Country Gospel Or Bluegrass Gospel Album"
angelique kidjo,4,2007,2019,Best Contemporary World Music Album | Best World Music Album
angelo badalamenti,1,1990,1990,Best Pop Instrumental Performance
anita baker,6,1986,1995,"Best Female R&B Vocal Performance | Best R&B Vocal Performance, Female | Best Soul Gospel Performance By A Duo, Group, Choir Or Chorus"
anita kerr singers,2,1965,1966,Best Performance By A Vocal Group
anne murray,4,1974,1983,"Best Country Vocal Performance, Female | Best Pop Vocal Performance, Female"
annie lennox,2,1992,1995,Best Female Pop Vocal Performance | Best Music Video - Long Form
"annie lennox, howard shore",1,2004,2004,"Best Song Written For A Motion Picture, Television Or Other Visual Media"
aphex twin,1,2014,2014,Best Dance/Electronic Album
apparat,1,2019,2019,Best Dance/Electronic Album
april stevens and nino tempo,1,1963,1963,Best Rock & Roll Recording
arcade fire,1,2010,2010,Album Of The Year
